product_name,size,milk,whip,serv_size_m_l,calories,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,caffeine_mg,calories_per_ml,sugar_to_calorie_ratio,Beverage_Category
Java Chip Frappuccino Blended,grande,Whole,1,473,470,18.0,12.0,0.5,50,260,72,2,66,110,0.9936575052854123,0.14042553191489363,Frappuccino
Java Chip Frappuccino Blended,grande,Soy,0,473,330,6.0,3.5,0.0,0,250,66,3,61,110,0.6976744186046512,0.18484848484848485,Frappuccino
Java Chip Frappuccino Blended,grande,Soy,1,473,450,17.0,10.0,0.4,40,260,71,3,64,110,0.9513742071881607,0.14222222222222222,Frappuccino
Java Chip Frappuccino Blended,grande,Coconut,0,473,320,6.0,5.0,0.0,0,250,66,2,61,110,0.6765327695560254,0.190625,Frappuccino
Java Chip Frappuccino Blended,grande,Coconut,1,473,440,17.0,12.0,0.4,40,260,71,3,66,110,0.9302325581395349,0.15,Frappuccino
Java Chip Frappuccino Blended,venti,Nonfat,0,709,440,6.0,4.0,0.0,5,340,91,3,85,145,0.6205923836389281,0.19318181818181818,Frappuccino
Java Chip Frappuccino Blended,venti,Nonfat,1,709,560,17.0,11.0,0.4,45,350,96,3,89,145,0.7898448519040903,0.15892857142857142,Frappuccino
Java Chip Frappuccino Blended,venti,2%,0,709,460,8.0,6.0,0.2,10,350,91,3,85,145,0.6488011283497884,0.18478260869565216,Frappuccino
Java Chip Frappuccino Blended,venti,2%,1,709,580,20.0,13.0,0.5,55,360,96,3,88,145,0.8180535966149506,0.15172413793103448,Frappuccino
Java Chip Frappuccino Blended,venti,Whole,0,709,480,10.0,7.0,0.2,15,340,91,3,85,145,0.6770098730606487,0.17708333333333334,Frappuccino
Java Chip Frappuccino Blended,venti,Whole,1,709,600,22.0,14.0,0.5,55,360,96,3,88,145,0.846262341325811,0.14666666666666667,Frappuccino
Java Chip Frappuccino Blended,venti,Soy,0,709,450,8.0,4.5,0.0,0,340,89,4,81,145,0.6346967559943583,0.18,Frappuccino
Java Chip Frappuccino Blended,venti,Soy,1,709,570,19.0,11.0,0.4,40,350,93,4,85,145,0.8039492242595204,0.14912280701754385,Frappuccino
Java Chip Frappuccino Blended,venti,Coconut,0,709,440,9.0,7.0,0.0,0,340,89,3,82,145,0.6205923836389281,0.18636363636363637,Frappuccino
Java Chip Frappuccino Blended,venti,Coconut,1,709,560,20.0,14.0,0.4,40,350,94,3,87,145,0.7898448519040903,0.15535714285714286,Frappuccino
Iced Caffè Mocha,tall,Nonfat,0,354,190,0.5,0.4,0.0,0,160,42,1,40,75,0.536723163841808,0.21052631578947367,Other
Iced Caffè Mocha,tall,Nonfat,1,354,270,9.0,5.0,0.2,30,170,45,1,42,75,0.7627118644067796,0.15555555555555556,Other
Iced Caffè Mocha,tall,2%,0,354,200,2.0,1.5,0.1,5,160,42,1,40,75,0.5649717514124294,0.2,Other
Iced Caffè Mocha,tall,2%,1,354,280,10.0,6.0,0.3,35,170,44,1,42,75,0.7909604519774012,0.15,Other
Iced Caffè Mocha,tall,Whole,0,354,210,3.0,2.0,0.1,10,160,42,1,40,75,0.5932203389830508,0.19047619047619047,Other
Iced Caffè Mocha,tall,Whole,1,354,290,11.0,7.0,0.3,35,170,44,1,42,75,0.8192090395480226,0.14482758620689656,Other
Iced Caffè Mocha,tall,Soy,0,354,190,2.0,0.5,0.0,0,160,41,1,38,75,0.536723163841808,0.2,Other
Iced Caffè Mocha,tall,Soy,1,354,270,10.0,5.0,0.2,30,160,43,1,40,75,0.7627118644067796,0.14814814814814814,Other
Iced Caffè Mocha,tall,Coconut,0,354,190,2.0,2.0,0.0,0,160,41,1,39,75,0.536723163841808,0.20526315789473684,Other
